Green Pixels,Yellow Pixels,Brown Pixels,Assessment
64.0,9.0,16.0,1
58.0,15.0,20.0,1
25.0,7.0,5.0,1
49.0,10.0,6.0,1
42.0,3.0,30.0,1
50.0,10.0,11.0,1
23.0,5.0,6.0,1
61.0,15.0,19.0,1
23.0,9.0,20.0,1
72.0,6.0,15.0,1
44.0,5.0,9.0,1
58.0,4.0,8.0,1
56.0,11.0,23.0,1
58.0,14.0,13.0,1
44.0,3.0,29.0,1
42.0,4.0,10.0,1
57.0,4.0,9.0,1
58.0,14.0,13.0,1
57.0,5.0,8.0,1
89.0,23.0,69.0,1
74.0,7.0,10.0,1
84.0,11.0,63.0,1
43.0,2.0,47.0,1
63.0,4.0,10.0,1
72.0,2.0,12.0,1
60.0,6.0,11.0,1
64.0,7.0,4.0,1
86.0,11.0,63.0,1
67.0,14.0,30.0,1
53.0,4.0,13.0,1
45.0,6.0,13.0,1
66.0,8.0,7.0,1
72.0,3.0,11.0,1
39.0,8.0,11.0,1
45.0,9.0,16.0,1
52.0,4.0,17.0,1
52.0,5.0,12.0,1
63.0,3.0,12.0,1
38.0,2.0,10.0,1
53.0,5.0,13.0,1
85.0,10.0,8.0,1
76.0,1.0,11.0,1
39.0,8.0,11.0,1
55.0,5.0,16.0,1
64.0,2.0,0.0,0
69.0,6.0,0.0,0
20.0,0.0,0.0,0
89.0,23.0,0.0,0
74.0,21.0,3.0,0
88.0,1.0,0.0,0
95.0,0.0,0.0,0
90.0,3.0,0.0,0
76.0,12.0,0.0,0
63.0,1.0,0.0,0
86.0,0.0,0.0,0
87.0,7.0,0.0,0
27.0,0.0,0.0,0
57.0,0.0,0.0,0
57.0,0.0,0.0,0
85.0,6.0,0.0,0
80.0,0.0,0.0,0
67.0,0.0,0.0,0
60.0,1.0,0.0,0
10.0,0.0,0.0,0
17.0,0.0,0.0,0
82.0,5.0,0.0,0
81.0,1.0,0.0,0
52.0,1.0,0.0,0
59.0,0.0,0.0,0
59.0,0.0,0.0,0
51.0,2.0,1.0,0
54.0,2.0,0.0,0
